Feature ID	Taxon
c52204cb26e270a6a92124d4b078ba85c4aad27a	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__comis
104c3e1d88c62cccb97cde4b60ff28fa017731f4	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__glabripes
662681d5e8aaed144e459e722ede927b5cfe2739	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Leptodontidiaceae;g__Leptodontidium;NA
99f1e3ed59cae088f7234a9ad277fadeadebcaa0	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__subdensifolia
adbc6f2b72ce13d3753434a40ec1eee66640b83c	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Bankeraceae;g__Hydnellum;s__caeruleum
ea0d7fefde2e9444346f39b2a6590c73e32c41d6	k__Fungi;p__Mucoromycota;c__Umbelopsidomycetes;o__Umbelopsidales;f__Umbelopsidaceae;g__Umbelopsis;s__changbaiensis
20463be866dac193edab81b23ba55b996e53b046	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;NA
4fcec05264af2a7f6e4533e918e08e1e46615a78	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Tomentella;NA
37891f535f55129bbec811d309bd3f95599d2027	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;NA
67f9ad471cdc23d271eba3aca61908da64c8b5f6	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__persicina
96de2dbfabee81838e036d264da6fe337fe3446a	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;NA
8acf2059e8bbe95f45c55176b8f86d74d183a1c2	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Hydnaceae;g__Sistotrema;NA
6031154512308af527898a8f85800a4e896badd4	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Tomentella;NA
c25aa241cbfc2a939703234c13b8950231dd4f92	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Sebacinaceae;g__Sebacina;NA
a97c513dda4a03f3ad49f88804f0ba56f75bbe3a	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__delica
12d6aad4c21542666a557cc77467013c8ec395c7	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Linnemannia;s__gamsii
2f3a19c9d88c04c997853635995070387fb46800	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Sordariaceae;NA;NA
b97f9feabbfa644ee941ea7cbbeed15480d75a45	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__vesca
362d5755c12fc5bdaaa4a94d38115953c4aad3e3	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Entolomataceae;NA;NA
e1039f5c70d3d083ab0c0dba2e773c57a79b4f5c	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Pilodermataceae;g__Piloderma;NA
66be53b334c84a783bb7471fbf2543aa183620eb	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;NA
4059704065bb811cbfd2820fe6dd974fbbd0a610	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Sebacinaceae;g__Sebacina;NA
89324c69ac2c94731dd9e2349e5aeb11eb6ed95e	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Tomentella;s__coerulea
8868d56b2c9d59fd0f089c2e4e9dea7c04fad864	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;NA
33d754de059fc8c430d1b15c36008ce6f841deaa	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__amarissima
cb7c709daa4b24b3cf57452f082fa1361bc1c3ed	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Tricholoma;s__equestre
718468b547d56fcea77be4893e05cf79c8597d44	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Gomphales;f__Gomphaceae;g__Ramaria;NA
097f9343b9c9b5fb1fd81c18baa77e0641af5f75	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__cyanoxantha
78f2153d385715aeeb56566b1e7a0821455836fc	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Tricholoma;s__equestre
f900400873068bdb6d10b3111aefca87ed47131a	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__quietiodor
dfc65ffb78469435131cab1947d983f4a80a3af0	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__risigallina
6d83a312befaaf212942b90d2e9131acd1db02f2	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__asterospora
7dc3b22a4ece7bbdbeb005a06e2e9707562d6e03	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Gloniales;f__Gloniaceae;g__Cenococcum;NA
fed6358c45ab6f3aa62d232f945902ad9e793a85	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Sebacinaceae;g__Helvellosebacina;NA
96b3937922be1e16816841ecca49ad68fc872331	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__subemetica
31f826b395718bff2fde2a19c567642526331c48	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__geophylla
cdc689f5c9627a8f48548c555b05df8dd2d7413b	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;s__desertorum
5d0d0d50c69a4584a6d734588db326d56636647f	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__aeruginea
84b20b64ed622cdafb08ecda23795f03e15917d9	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;NA;NA
46c7817aa54126f8473d14d749bd158af3ae23df	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__rimosa
fb4fff668b87a3439c720098e101b0670ae124b8	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__lanatopurpurea
bf924f0cd55df794121f21768980b6501e99ccf5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Leohumicola;NA
fb1b9532161bda96216fc87da33cf773fcf808dd	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Harmoniella;NA
629cc3c218d2fbd6f4f02d2356893cb83bddc2ab	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Lyophyllaceae;g__Lyophyllum;s__shimeji
734261e332a8cb241159ff739a8630ca40890c39	k__Fungi;p__Mucoromycota;c__Umbelopsidomycetes;o__Umbelopsidales;f__Umbelopsidaceae;g__Umbelopsis;s__changbaiensis
ffee6443f71b8b8a55d0293b84db2a33bcbf74c4	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__variata
aaa36804fe9e12b698996d6cc5346496f572475c	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Polyozellus;s__sciastrus
3faa37b51b7593a73f64a4041c2a60124076ecc0	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__rimosa
bcbc683fcb6d0ccf570c7360981bb64ddf827816	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hydnangiaceae;g__Laccaria;NA
e73cc4f2f23fd1ab14cc4736ca65420caec81aed	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Sebacinaceae;g__Sebacina;NA
c6389524406836214212efc50fa9a071d304def9	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;NA
7db21671ce3fd6244174c73de894a9c08d9a3167	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Niaceae;g__Maireina;s__filipendula
